"country_name","country_code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"east asia & pacific (excluding high income)","eap",NA,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922288.74,15922258.74,15922218.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15922198.74,15923078.74,15923078.74,15923078.74,15923078.74,15923068.74,15923058.74,15923058.74,15923058.74,15923058.74,15974567.74,15974591.94,15974051.17,15980817.76,15980455.52,15983161.89,15986244.49,15986056.89,15986086.89,15986047.13,15986366.42,15986345.95,15986378.95,15985860.38,15986223.92,15986238.4,15985941.4,15985877.4,15985853,15985856,15986074.8,16001111.47,16001111.26,NA,NA,NA
"early-demographic dividend","ear",NA,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114350.61,31114320.61,31114280.61,31114260.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114130.61,31114830.61,32150140.61,33150140.61,33143217.61,33143217.61,33143217.61,33143217.61,33114737.61,33114737.61,33191601.61,33191547.61,33191547.61,33191333.61,33318093.91,33318042.41,33318226.81,33318448.81,33318168.91,33318697.21,33318578.61,33318534.71,33318395.71,33318304.71,33316877.91,33321702.01,33321440.11,33315092.41,33315104.01,33314978.53,33315046.03,33330098.5,33302694.25,NA,NA,NA
"east asia & pacific","eas",NA,24396148.74,24396148.74,24396148.74,24396148.74,24396148.74,24396148.74,24396148.74,24396148.74,24396148.74,24396148.74,24396148.74,24396048.74,24396018.74,24395978.74,24395848.74,24395848.74,24395738.74,24395738.74,24395738.74,24395638.74,24395738.74,24395528.74,24395528.74,24394028.74,24393928.74,24394028.74,24393928.74,24393928.74,24393928.74,24393928.74,24395728.74,24395728.74,24395728.74,24395728.74,24395778.74,24395668.74,24395668.74,24395668.74,24395668.74,24446988.74,24447298.94,24446814.17,24453602.76,24453263.52,24455999.89,24459118.09,24458972.09,24459077.09,24459107.63,24459569.12,24459540.85,24459695.85,24459294.68,24459664.22,24459693.8,24469160.9,24469121.2,24469110.9,24469195.9,24469416.7,24484453.47,24447960.26,NA,NA,NA
"europe & central asia (excluding high income)","eca",NA,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,797030,5796775,5796819,5796795,5796775,5796761,5796752,5796591,5796200,5806658,5806599,5806588,5806575,5806570,5806622,5907561,5907454,5907426,5907385,5907330,5907257,5907247,5907266,5906131,5910951,5910959,5910968,5911046.3,5910999.9,5907730.6,5907793,5907752,NA,NA,NA
"europe & central asia","ecs",NA,5483173.727,5483153.727,5483163.727,5483163.727,5483153.727,5483143.727,5483133.727,5483123.727,5483123.727,5483113.727,5483103.727,5483103.727,5483103.727,5483073.727,5482953.727,5482873.727,5482853.727,5482853.727,5482814.437,5482734.437,5482714.437,5482704.437,5482664.437,5482674.517,5482674.597,5482674.677,5482674.757,5482664.837,5481674.917,5481674.997,5481785.077,27114827.16,27236451.24,27231617.32,27228617.4,27228272.18,27297611.96,27300059.75,27306847.53,27344112.77,27342622.55,27341920.33,27342428.1,27342411.88,27342332.66,27438960.43,27438802.21,27437344.81,27438232.81,27439468.61,27439300.81,27439439.92,27440727.78,27440324.62,27444603.26,27444958.09,27444222.81,27445059.54,27444880.55,27440780.89,27440964.95,27440618.29,NA,NA,NA
"ecuador","ecu",NA,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,NA,NA
"egypt, arab rep.","egy",NA,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,NA,NA
"euro area","emu",NA,2410306,2410306,2410306,2410306,2410306,2410306,2410306,2410306,2410306,2410306,2410306,2410306,2410306,2410276,2410156,2410096,2410066,2410056,2410066,2409996,2409986,2409986,2409956,2409966,2409966,2409966,2409966,2409966,2409966,2409966,2409966,2653313,2701403,2701393,2701383,2701443,2701403,2701303,2701263,2735311.46,2734781.46,2735261.46,2735743.46,2735363.46,2735223.46,2734593.46,2734653.46,2734114.66,2734034.26,2735345.66,2735181.46,2735491.16,2736891.66,2736879.06,2736294.66,2736687.06,2735965.51,2736178.939,2736155.496,2736151.105,2736325.404,2736252.841,NA,NA,NA
"eritrea","eri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,120982.625,121025.326,121004.031,121032.606,121057.494,121069.592,121065.103,121088.989,121082.12,121049.278,121036.185,121088.775,121077.459,121071.233,121077.714,121080.546,121040.829,121178.2,121178.2,121178.2,NA,NA
"spain","esp",NA,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499750,499630,499570,499540,499530,499540,499470,499460,499460,499430,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,499661,499564,499547.35,499603.479,499570.036,499556.645,499733.244,499713.681,499697.4,NA,NA
"estonia","est",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470,43470,42750,42750,42750,42750,42750,42730,42730,NA,NA
"ethiopia","eth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1128597.3,1128599.8,1128613.2,1128631.2,1128568.3,1128588.6,1128571,1128575.1,1128582.1,1128572.1,1128538.3,1128539.4,1128558.5,1128552.8,1128561.4,1128570.9,1128571.4,1128505.6,1128498.8,1128498.8,NA,NA
"european union","euu",NA,3594945.7,3594925.7,3594935.7,3594935.7,3594925.7,3594915.7,3594905.7,3594895.7,3594895.7,3594885.7,3594875.7,3594875.7,3594875.7,3594845.7,3594725.7,3594645.7,3594625.7,3594625.7,3594585.7,3594505.7,3594485.7,3594475.7,3594435.7,3594445.7,3594445.7,3594445.7,3594445.7,3594435.7,3593445.7,3593445.7,3593555.7,3836902.7,3962252.7,3962292.7,3962262.7,3962352.7,3962262.7,3962222.7,3962192.7,3996171.16,3995641.16,3994451.16,3994933.16,3994673.16,3994383.16,3993723.16,3993673.16,3993114.36,3994043.96,3995335.36,3995241.16,3995390.86,3996781.36,3997528.76,3996905.3,3997297.7,3996576.15,3996769.579,3996650.996,3996659.635,3996792.234,3996694.571,NA,NA,NA
"fragile and conflict affected situations","fcs",NA,16129541,16129541,16129541,16129541,16129541,16129541,16129541,16129541,16129541,16129541,16129541,16129541,16129541,16129141,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16128741,16129621,16708971,17809971,17809971,17809971,17809971,17809971,17809971,17809971,17809971,17809971,17809961,17809771,17958210.93,17958236.13,17958378.23,17958454.81,17958196.79,17955169.19,17955097.1,17955155.09,20454945.22,20454640.38,20454563.49,20454617.18,20454324.96,20454293.03,20454358.11,20454370.45,20454301.23,20454306.23,20449830.94,NA,NA,NA
"finland","fin",NA,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910,303910,303920,303920,303930,303940,303947.7,303947.7,303960,NA,NA
"fiji","fji",NA,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,NA,NA
"france","fra",NA,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,538950,NA,NA
"faroe islands","fro",NA,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1366,1370,1370,1370,NA,NA
"micronesia, fed. sts.","fsm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,NA,NA
"gabon","gab",NA,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,NA,NA
"united kingdom","gbr",NA,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,NA,NA
"georgia","geo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,NA,NA
"ghana","gha",NA,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227533,227530,227533,227533,227533,NA,NA
"gibraltar","gib",NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,NA
"guinea","gin",NA,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,NA,NA
"gambia, the","gmb",NA,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,NA,NA
"guinea-bissau","gnb",NA,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,NA,NA
"equatorial guinea","gnq",NA,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,NA,NA
"greece","grc",NA,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,NA,NA
"grenada","grd",NA,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,NA,NA
"greenland","grl",NA,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,NA,NA
"guatemala","gtm",NA,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,NA,NA
"guam","gum",NA,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,NA,NA
"guyana","guy",NA,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,211140,211140,211140,211140,NA,NA
"high income","hic",NA,35135119.73,35135099.73,35135109.73,35135109.73,35135099.73,35135089.73,35135079.73,35135069.73,35135069.73,35135059.73,35135049.73,35134949.73,35134949.73,35134919.73,35134829.73,35134749.73,35134619.73,35134619.73,35134580.44,35134310.44,35134390.44,35134170.44,35134130.44,35132640.52,35132540.6,35132640.68,35132540.76,35132530.84,35131540.92,35131541,35132571.08,51765888.16,51887468.24,51882658.32,51879738.4,51879307.18,51948655.96,51951264.75,51958443.53,51988021.77,51986876.55,51986241.33,51986794.1,51986815.88,51986724.66,51982449.03,51982449.41,51966605.01,51967604.31,51969039.31,51969469.71,51969743.82,51971130.08,51971528.92,51971009.66,51981121.59,51980402.61,51981233.14,51981184.55,51980361.19,51803597.95,51745159.29,NA,NA,NA
"hong kong sar, china","hkg",NA,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1010,1010,1000,1000,1000,1000,1000,990,990,990,990,990,990,990,990,990,990,990,990,990,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,NA,NA
"honduras","hnd",NA,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,NA,NA
"heavily indebted poor countries (hipc)","hpc",NA,16276851,16276851,16276851,16276851,16276851,16276851,16276851,16276851,16276851,16276851,16276851,16276851,16276851,16276451,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,16276191,17377191,17377191,17377191,17377191,17377191,17377191,17377191,17377191,17377191,17377191,17377191,17525770.93,17525816.13,17525808.23,17525854.81,17525816.79,17525849.19,17526537.1,17526820.09,19394820.22,19394782.38,19394735.49,19394789.18,19394796.96,19394785.03,19394800.11,19394805.45,19394763.23,19394766.23,19394766.23,NA,NA,NA
"croatia","hrv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55910,55910,55910,55910,55980,55980,55910,55910,55912,55912,55912,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55960,55960,55960,55960,NA,NA
"haiti","hti",NA,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,NA,NA
"hungary","hun",NA,90040,90020,90030,90030,90020,90010,90000,89990,89990,89980,89970,89970,89970,89970,89970,89950,89960,89970,89920,89910,89900,89890,89880,89880,89880,89880,89880,89870,89870,89870,89870,89870,89860,89860,89860,89860,89800,89800,89800,89620,89620,89620,89620,89620,89610,89610,89610,89610,90530,90530,90530,90530,90530,91260,91260,91260,91260,91260,91260,91260,91260,91260,91260,NA,NA
"ibrd only","ibd",NA,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974220.74,49974150.74,49974110.74,49974090.74,49973960.74,49973960.74,49973960.74,49973960.74,49973870.74,49973870.74,49973870.74,49973870.74,49973870.74,49973870.74,49973870.74,49973870.74,49973870.74,49972880.74,49972880.74,49973450.74,70661895.74,70658169.74,70653345.74,70650345.74,70650001.74,70650692.74,70624691.74,70631520.74,70675864.74,70674983.94,70673262.17,70680141.76,70680298.52,70683140.89,70783381.49,70782792.89,70782141.89,70779673.13,70780020.42,70780016.95,70780028.95,70779418.38,70779630.92,70779651.4,70779671.4,70773439.4,70773584.3,70773414.92,70770315.42,70785381.49,70784043.32,NA,NA,NA
"ida & ibrd total","ibt",NA,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751672.35,70751602.35,70751162.35,70750882.35,70750752.35,70750752.35,70750752.35,70750752.35,70750662.35,70750662.35,70750662.35,70750662.35,70750662.35,70750662.35,70750662.35,70750662.35,70750662.35,70749672.35,70749672.35,70751122.35,92196727.35,93294001.35,93282254.35,93279254.35,93278910.35,93279601.35,93253600.35,93260429.35,93315688.35,93314753.55,93313031.78,93319687.37,93466577.05,93469400.63,93569804.33,93569456.31,93568540.29,93566071.94,93567004.13,93567230.65,96067023.78,96066294.37,96065286.02,96069358.19,96069103.97,96062777.04,96062853.02,96062657.45,96059576.26,96074648.33,96074858.87,NA,NA,NA
"ida total","ida",NA,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777451.61,20777051.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20776791.61,20777671.61,21534831.61,22635831.61,22628908.61,22628908.61,22628908.61,22628908.61,22628908.61,22628908.61,22639823.61,22639769.61,22639769.61,22639545.61,22786278.54,22786259.74,22786422.84,22786663.42,22786398.4,22786398.8,22786983.71,22787213.7,25286994.83,25286875.99,25285655.1,25289706.79,25289432.57,25289337.64,25289268.72,25289242.53,25289260.84,25289266.84,25290815.55,NA,NA,NA
"ida blend","idb",NA,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4462487.61,4887887.61,4887887.61,4887887.61,4887887.61,4887887.61,4887887.61,4887887.61,4887887.61,4898452.61,4898398.61,4898398.61,4898364.61,4898340.61,4898336.61,4898337.61,4898471.61,4898454.61,4898432.61,4898379.61,4898296.61,4898287.61,4898276.61,4898276.61,4903087.61,4903078.61,4903075.61,4903074.61,4903042.61,4903137.61,4903140.61,4903139.61,NA,NA,NA
"indonesia","idn",NA,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1892555.47,1892555.47,1892555.47,NA,NA
"ida only","idx",NA,16314964,16314964,16314964,16314964,16314964,16314964,16314964,16314964,16314964,16314964,16314964,16314964,16314964,16314564,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16314304,16315184,16646944,17747944,17741021,17741021,17741021,17741021,17741021,17741021,17741371,17741371,17741371,17741181,17887937.93,17887923.13,17888085.23,17888191.81,17887943.79,17887966.19,17888604.1,17888917.09,20388707.22,20388599.38,20387378.49,20386619.18,20386353.96,20386262.03,20386194.11,20386199.92,20386123.23,20386126.23,20387675.94,NA,NA,NA
"isle of man","imn",NA,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,NA,NA
"india","ind",NA,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,NA,NA
"not classified","inx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ireland","irl",NA,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,NA,NA
"iran, islamic rep.","irn",NA,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1622500,1622500,1622500,1622500,1622500,1622500,1622500,NA,NA
"iraq","irq",NA,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,434320,434320,434320,434320,434128,434128,434128,434128,434128,434128,434130,434130,434130,434130,434130,NA,NA
"iceland","isl",NA,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100830,100830,100830,100830,100830,100830,NA,NA
"israel","isr",NA,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,NA,NA
